manufacturer,diameter,impulseClass,my_Isp,total_impulse
Loki Research,38.0,H,193.59901622898562,239.3
AeroTech,38.0,H,172.12279206564062,206.0
Cesaroni Technology,38.0,H,182.76368443087176,258.0
Sky Ripper Systems,38.0,H,164.17567586969318,228.7
AeroTech,29.0,H,186.8841318382603,165.0
AeroTech,29.0,H,179.10929122249289,217.7
AeroTech,29.0,H,206.364535191189,215.4
Contrail Rockets,38.0,H,167.99184505606524,206.0
AeroTech,29.0,H,210.7715772611958,220.0
AeroTech,29.0,H,202.28465545606326,165.5
AeroTech,38.0,H,205.91766670488184,231.7
Contrail Rockets,38.0,H,205.72699471782036,222.0
AeroTech,29.0,H,196.50467312675778,320.0
Ellis Mountain,29.0,H,183.5487764457202,293.5
Contrail Rockets,38.0,H,270.5958669261421,292.0
Contrail Rockets,38.0,H,149.19840607914,161.0
Contrail Rockets,38.0,H,140.2650356778797,172.0
Loki Research,38.0,H,201.9622833843017,317.0
Cesaroni Technology,38.0,H,197.57205078305995,319.8
AeroTech,38.0,H,229.87788387526263,221.0
AeroTech,38.0,H,221.8338915586622,319.9
AeroTech,54.0,I,173.8467727504214,630.5
Ellis Mountain,29.0,I,159.3842326232312,369.0
R.A.T.T. Works,29.0,I,165.2221790208736,359.5
Propulsion Polymers,38.0,I,141.06777263800416,460.0
R.A.T.T. Works,29.0,I,170.96348069243732,485.2
West Coast Hybrids,38.0,I,155.77314542048148,499.7
Sky Ripper Systems,38.0,I,162.98867675014463,591.6
Sky Ripper Systems,38.0,I,157.15256540944614,407.0
Hypertek,54.0,I,160.9780459604978,470.6
Ellis Mountain,38.0,I,197.78386750863817,597.6
AeroTech,38.0,I,165.39001929324544,610.7
Ellis Mountain,38.0,I,150.92073862624474,444.9
Hypertek,54.0,I,182.62175684291287,507.0
Hypertek,54.0,I,185.05975959334742,541.0
Sky Ripper Systems,38.0,I,200.5915423346616,519.5
Ellis Mountain,38.0,I,205.41629730893968,346.2
AeroTech,38.0,I,152.42132156543954,378.0
Propulsion Polymers,38.0,I,160.3425765528135,484.0
Ellis Mountain,38.0,I,203.39006892052927,462.7
AeroTech,38.0,I,173.42974064154757,328.7
Cesaroni Technology,38.0,I,207.67923887189943,382.0
Kosdon by AeroTech,38.0,I,209.4745214011269,374.0
AeroTech,38.0,I,144.30322303162075,426.1
AeroTech,29.0,I,176.6070012566581,324.5
Hypertek,54.0,I,160.43073428702394,469.0
Cesaroni Technology,38.0,I,188.39265797854526,380.9
AeroTech,38.0,I,179.12968770345276,441.6
Cesaroni Technology,38.0,I,149.55660984748104,364.0
AeroTech,38.0,I,194.78369270924637,330.0
Contrail Rockets,38.0,I,289.5005096839959,355.0
Hypertek,54.0,I,192.38254100639418,519.0
Hypertek,54.0,I,180.44181734841177,527.5
Ellis Mountain,38.0,I,188.5132587658665,540.0
Cesaroni Technology,38.0,I,203.14286862575307,556.0
Hypertek,54.0,I,151.8932869771212,570.4
Animal Motor Works,38.0,I,210.6801890935728,390.0
Kosdon by AeroTech,38.0,I,213.95525982681946,382.0
AeroTech,38.0,I,195.96776873931702,607.3
Cesaroni Technology,38.0,I,190.8882572100452,510.1
AeroTech,38.0,I,185.983734393972,420.0
Animal Motor Works,38.0,I,174.25515792799266,353.0
Cesaroni Technology,38.0,I,149.76204475111766,486.0
AeroTech,38.0,I,196.19153814165904,426.5
Hypertek,54.0,I,145.96882136465223,574.5
Kosdon by AeroTech,38.0,I,204.26033298494986,633.8
Animal Motor Works,38.0,I,174.73134292339589,572.0
Cesaroni Technology,38.0,I,148.1596525027518,601.0
AeroTech,38.0,I,199.89899840080798,342.0
