manufacturer,diameter,impulseClass,my_Isp,total_impulse
Kosdon by AeroTech,29.0,H,179.33595456531233,246.3
Kosdon by AeroTech,29.0,H,184.86583431054697,241.2
Kosdon by AeroTech,38.0,J,201.34855838921152,645.9
Kosdon by AeroTech,54.0,K,199.15173028689514,1434.0
AeroTech,75.0,L,204.0285960362963,3949.0
Loki Research,38.0,J,178.115374919163,650.0
Cesaroni Technology,38.0,G,210.11127690204052,128.0
Cesaroni Technology,38.0,H,212.36833163438664,255.0
Cesaroni Technology,38.0,I,183.67528676876265,369.2
Cesaroni Technology,38.0,I,205.54014004505217,370.0
Cesaroni Technology,38.0,I,193.35704171106218,419.2
Cesaroni Technology,75.0,K,205.06385290494373,2412.0
Cesaroni Technology,54.0,K,213.8549099558274,2014.0
Cesaroni Technology,54.0,K,214.16659669233596,2372.0
Cesaroni Technology,75.0,L,212.58614530785783,3660.0
Cesaroni Technology,75.0,L,213.53169303765512,4864.0
Animal Motor Works,54.0,J,183.41643208792817,945.9
Animal Motor Works,54.0,J,208.61925941112037,1099.0
Animal Motor Works,54.0,J,191.95428677152103,1079.0
Animal Motor Works,54.0,J,137.73452160905052,976.9
Animal Motor Works,54.0,J,144.51620907900173,1025.0
Animal Motor Works,54.0,J,222.0699668937499,1196.0
Animal Motor Works,54.0,J,214.06727828746176,932.4
Animal Motor Works,54.0,K,211.1344597634383,1483.0
Animal Motor Works,54.0,K,192.39903720426318,1442.0
Animal Motor Works,54.0,K,145.82037974630003,1379.0
Animal Motor Works,54.0,K,192.77262756776662,1806.0
Animal Motor Works,54.0,K,140.42745779774214,1660.0
Animal Motor Works,54.0,K,145.9261233139188,1725.0
Animal Motor Works,54.0,K,202.49607405570708,1176.0
Animal Motor Works,54.0,L,209.77727399745748,2665.0
Gorilla Rocket Motors,38.0,H,133.1659919982559,226.0
Gorilla Rocket Motors,38.0,I,184.66893067734466,327.9
Gorilla Rocket Motors,38.0,H,178.73300576114718,312.1
Gorilla Rocket Motors,38.0,I,186.07671164669983,553.1
Gorilla Rocket Motors,38.0,I,179.4974072596729,526.5
Gorilla Rocket Motors,54.0,J,199.5938090902724,1026.0
Gorilla Rocket Motors,54.0,K,198.03194798594498,1356.0
Gorilla Rocket Motors,54.0,K,201.37281240770906,1691.0
Gorilla Rocket Motors,54.0,K,190.84058294816114,2460.0
Gorilla Rocket Motors,75.0,L,194.6313285762827,3580.0
Gorilla Rocket Motors,75.0,L,184.57598605123172,3252.0
AeroTech,98.0,N,173.68467050247972,14130.0
Gorilla Rocket Motors,75.0,M,197.13540316867946,5705.0
Gorilla Rocket Motors,75.0,M,185.9779469402937,5165.0
Gorilla Rocket Motors,75.0,L,159.35905108309268,4210.0
Cesaroni Technology,38.0,I,172.47706422018345,338.4
Cesaroni Technology,38.0,I,166.35625761651835,434.1
Animal Motor Works,38.0,I,168.18022673966453,542.8
Cesaroni Technology,38.0,J,169.86892369155365,659.9
Animal Motor Works,54.0,J,213.94381206589085,1109.0
Animal Motor Works,54.0,J,178.4074853009161,1233.0
Animal Motor Works,54.0,K,207.29965634092144,1791.0
Animal Motor Works,54.0,K,194.93311448251407,2551.0
Cesaroni Technology,161.0,O,213.95209546352447,37150.0
Cesaroni Technology,29.0,F,205.0681702344546,51.5
Cesaroni Technology,29.0,G,214.24681472438164,107.4
Cesaroni Technology,29.0,H,217.03102094954062,163.3
Cesaroni Technology,29.0,H,216.3292189927289,217.1
Cesaroni Technology,29.0,H,207.85861788365176,260.8
Cesaroni Technology,29.0,H,209.58843847974617,315.4
Cesaroni Technology,54.0,K,208.69019970504885,2383.0
Cesaroni Technology,54.0,L,206.330803900851,2771.0
Cesaroni Technology,75.0,L,210.98546807955807,4895.0
Cesaroni Technology,75.0,M,289.155934588161,6042.0
Cesaroni Technology,29.0,G,211.44908409719477,159.1
Cesaroni Technology,29.0,G,213.7896294180876,107.8
Cesaroni Technology,29.0,H,217.0949731011131,164.2
Cesaroni Technology,29.0,H,214.3845912810322,216.2
Cesaroni Technology,29.0,H,212.59970569219846,268.0
Cesaroni Technology,29.0,H,206.05512519980806,311.7
Cesaroni Technology,38.0,J,214.33519728406688,1008.0
Cesaroni Technology,29.0,I,191.17273504019738,347.7
Cesaroni Technology,38.0,J,197.33125392872202,1116.0
Cesaroni Technology,75.0,L,186.5091918872368,2653.0
Cesaroni Technology,75.0,M,191.80657661124275,6819.0
Cesaroni Technology,75.0,L,192.79003630399436,3618.0
Cesaroni Technology,75.0,M,195.58086752171099,6132.0
Animal Motor Works,54.0,K,181.26044082633922,1531.0
Cesaroni Technology,29.0,G,187.97145769622836,138.3
Cesaroni Technology,29.0,H,179.9184505606524,176.5
Cesaroni Technology,29.0,H,179.8165137614679,220.5
Cesaroni Technology,29.0,H,175.33129459734963,258.0
Cesaroni Technology,54.0,K,180.7615627764764,1364.0
Cesaroni Technology,54.0,K,175.35461866996596,1654.0
Alpha Hybrids,54.0,I,155.5847132833042,540.0
Loki Research,38.0,I,173.5474006116208,408.6
Loki Research,76.0,M,175.95088349805332,5123.0
Loki Research,76.0,L,170.23445463812436,3006.0
Loki Research,54.0,K,166.52104266783167,2287.0
Loki Research,54.0,K,117.66419105868647,1616.0
Loki Research,54.0,J,160.85281362843173,931.0
Loki Research,38.0,J,167.58196305725005,942.0
Gorilla Rocket Motors,54.0,J,187.9182732792625,1060.0
Gorilla Rocket Motors,54.0,K,188.5497658118633,1415.0
Gorilla Rocket Motors,54.0,K,189.3878426954236,1765.0
Cesaroni Technology,54.0,K,179.5731519376479,2010.0
Cesaroni Technology,54.0,K,175.00922900231063,2304.0
Cesaroni Technology,29.0,F,60.866610527559864,41.2
Cesaroni Technology,29.0,G,145.64868086870885,84.3
Cesaroni Technology,29.0,G,144.04613157900792,125.2
Cesaroni Technology,29.0,H,143.281191063742,166.0
Cesaroni Technology,29.0,H,142.40764222117247,206.2
Cesaroni Technology,29.0,H,145.45132215654752,252.7
Cesaroni Technology,75.0,L,136.25416783426942,4026.0
Cesaroni Technology,75.0,L,136.95140075967635,5069.0
Cesaroni Technology,54.0,I,227.59654881392433,474.9
Cesaroni Technology,29.0,F,222.62059592018466,57.0
Cesaroni Technology,29.0,G,226.96101162001247,116.0
Cesaroni Technology,29.0,H,216.77864072101383,166.3
Cesaroni Technology,29.0,H,224.10458344206265,229.3
Cesaroni Technology,29.0,H,216.94241877728112,282.2
Animal Motor Works,54.0,K,217.35376525570538,1951.0
Cesaroni Technology,29.0,H,184.62986605262665,167.9
Cesaroni Technology,29.0,H,177.66127857870978,305.0
Cesaroni Technology,29.0,H,141.68573974701724,287.3
Cesaroni Technology,38.0,G,196.7891876148757,150.0
Cesaroni Technology,38.0,H,189.08483993809844,286.4
Cesaroni Technology,38.0,I,207.49439347604485,636.1
Cesaroni Technology,54.0,L,218.53736066469418,2772.0
Cesaroni Technology,75.0,L,171.18291007401496,4828.0
AeroTech,38.0,I,190.4477760373934,383.0
AeroTech,38.0,I,182.1370750134916,486.0
Cesaroni Technology,29.0,G,198.6460702057032,159.6
Cesaroni Technology,29.0,H,193.9725897738149,311.5
Cesaroni Technology,75.0,M,171.81563339820218,5933.0
Animal Motor Works,54.0,L,188.60035591492596,2729.0
Cesaroni Technology,54.0,K,188.4936602464367,2108.0
Cesaroni Technology,54.0,K,187.6665414811238,1679.0
Cesaroni Technology,54.0,J,205.99728168535506,1261.0
Cesaroni Technology,54.0,J,205.31933662667606,837.9
Cesaroni Technology,54.0,I,209.78232433944052,465.1
Cesaroni Technology,54.0,I,217.7015467801267,491.2
Cesaroni Technology,54.0,J,171.43459724921286,682.8
Cesaroni Technology,38.0,J,155.40161018535855,896.4
Cesaroni Technology,38.0,J,184.74426073620197,998.6
Cesaroni Technology,29.0,H,193.59582759880442,207.2
Cesaroni Technology,29.0,H,194.53188290122296,260.3
Cesaroni Technology,75.0,M,199.84002121187044,6738.0
Cesaroni Technology,98.0,N,199.2589448953252,17790.0
Animal Motor Works,75.0,M,212.03267348104356,8212.0
AeroTech,18.0,D,195.0321412968857,18.75
AeroTech,75.0,L,154.07019076743848,4232.0
Cesaroni Technology,54.0,J,170.9039405469599,1016.0
Cesaroni Technology,38.0,J,196.4926559623053,985.0
Cesaroni Technology,38.0,J,197.3043379771208,783.9
Cesaroni Technology,38.0,J,198.912875797421,657.6
Cesaroni Technology,38.0,I,202.96749348737114,537.6
Cesaroni Technology,38.0,I,206.37204932941574,413.0
Cesaroni Technology,38.0,H,203.79973112322529,275.9
Cesaroni Technology,38.0,G,208.15789862459187,140.9
Cesaroni Technology,38.0,J,173.6610048757722,848.4
Loki Research,38.0,J,217.03821117817947,1220.0
Loki Research,76.0,L,179.82235798810248,3200.0
Loki Research,76.0,M,178.37311473914926,5477.0
Loki Research,76.0,M,207.10745544658866,8838.0
Loki Research,98.0,N,208.03428405001145,12500.0
Loki Research,38.0,G,177.98488746500976,110.0
Cesaroni Technology,29.0,F,180.78111958934974,54.8
Cesaroni Technology,29.0,I,213.08980213089802,381.5
Cesaroni Technology,54.0,L,204.71927698381566,3147.0
Cesaroni Technology,98.0,M,175.2160579267883,8089.0
Cesaroni Technology,98.0,N,170.66481338233936,11080.0
Cesaroni Technology,98.0,N,175.51542578737622,14260.0
Cesaroni Technology,98.0,M,259.1677292919718,7579.0
Cesaroni Technology,98.0,M,209.52024322179724,9870.0
Cesaroni Technology,98.0,N,207.6741714411366,13770.0
Cesaroni Technology,98.0,N,212.463845856213,17610.0
Cesaroni Technology,75.0,M,193.5744665893353,5507.0
Cesaroni Technology,75.0,M,198.1587582582762,7455.0
Cesaroni Technology,75.0,M,212.32282841136944,7388.0
Animal Motor Works,75.0,M,178.45524921835283,6775.0
Gorilla Rocket Motors,54.0,K,175.9445729013865,2123.0
Gorilla Rocket Motors,54.0,K,178.3893985728848,2450.0
Gorilla Rocket Motors,54.0,K,187.19444172923286,2413.0
Gorilla Rocket Motors,75.0,L,164.89049516572453,2669.0
Gorilla Rocket Motors,75.0,L,196.4176496286588,3372.0
Gorilla Rocket Motors,75.0,L,208.24231833406145,3575.0
Gorilla Rocket Motors,75.0,M,165.7235986742112,5973.0
AeroTech,54.0,J,173.2925586136595,945.2
AeroTech,38.0,J,178.92833935407177,1162.0
AeroTech,75.0,M,230.2736365953109,5783.0
AeroTech,98.0,M,224.49336978411665,8307.0
AeroTech,98.0,N,190.52085470586513,14040.0
AeroTech,24.0,E,220.23382539862322,35.0
Quest Aerospace,18.0,A,30.095626425901656,1.86
Quest Aerospace,18.0,B,37.638202775817454,3.84
Cesaroni Technology,29.0,G,189.39857288481141,92.9
Cesaroni Technology,54.0,I,194.41993854346222,501.8
Cesaroni Technology,75.0,M,214.82925849493807,6118.0
Cesaroni Technology,75.0,M,208.06046921991503,6162.0
Cesaroni Technology,75.0,M,214.23764619696234,7545.0
Cesaroni Technology,75.0,M,224.10532950486729,5472.0
Cesaroni Technology,98.0,M,222.08253721192045,5342.0
Cesaroni Technology,98.0,M,228.85406735155738,9995.0
Cesaroni Technology,98.0,N,212.70514494293215,17630.0
Cesaroni Technology,98.0,N,227.69388133996094,20150.0
Animal Motor Works,76.0,L,177.15522845336812,4701.0
Kosdon TRM,29.0,H,204.89296636085626,160.8
Kosdon TRM,29.0,G,148.76673898080625,136.6
Kosdon TRM,29.0,I,167.42321914009412,404.2
Cesaroni Technology,29.0,G,187.49300289311955,159.1
Cesaroni Technology,29.0,H,172.12657710543357,298.2
Cesaroni Technology,54.0,K,174.57228466402776,1978.0
Cesaroni Technology,75.0,M,229.60259504956545,6800.0
Cesaroni Technology,75.0,M,160.94340946082036,6287.0
Quest Aerospace,24.0,D,86.13659531090723,18.59
Quest Aerospace,20.0,D,74.79612640163099,17.61
AeroTech,75.0,K,207.50829785370993,2512.0
Cesaroni Technology,29.0,F,225.63085985503218,56.0
Cesaroni Technology,29.0,G,221.6017373576209,110.0
Cesaroni Technology,29.0,H,225.227947605291,167.7
Cesaroni Technology,54.0,I,191.66443801041072,395.6
Cesaroni Technology,54.0,K,176.12579064984902,1597.0
Cesaroni Technology,54.0,K,201.49683362118594,1526.0
Cesaroni Technology,54.0,K,202.72026643741975,2285.0
Cesaroni Technology,54.0,K,205.00086155114633,2546.0
Cesaroni Technology,98.0,N,169.9343603227681,14270.0
Cesaroni Technology,98.0,N,202.89343683839093,10350.0
AeroTech,54.0,K,172.31804900081826,2228.0
AeroTech,54.0,K,179.33617998945914,2273.0
AeroTech,29.0,G,183.73039853015683,120.4
AeroTech,38.0,H,178.68264141985392,319.9
AeroTech,38.0,J,182.00606035217072,651.7
AeroTech,54.0,K,185.57218147424538,1596.0
Quest Aerospace,13.0,A,48.41997961264016,1.71
R.A.T.T. Works,64.0,K,113.45955937940487,1861.0
R.A.T.T. Works,64.0,K,97.6182057503871,2170.0
AeroTech,98.0,L,175.51580927836608,4642.0
AeroTech,75.0,L,204.31345510767142,3716.0
AeroTech,54.0,I,187.93194034676472,418.5
Cesaroni Technology,24.0,G,220.42479338075947,142.5
Cesaroni Technology,24.0,G,187.31055173797526,139.1
Cesaroni Technology,24.0,F,229.77832951490865,68.3
Cesaroni Technology,24.0,G,183.38314189576676,142.3
Cesaroni Technology,24.0,F,186.28950050968396,73.1
Cesaroni Technology,24.0,G,183.868501529052,144.3
Cesaroni Technology,24.0,G,172.75188477581156,131.0
Cesaroni Technology,24.0,F,172.35199463115907,67.8
Cesaroni Technology,29.0,H,176.96481597558582,167.7
Cesaroni Technology,29.0,G,183.45220287294998,107.8
Cesaroni Technology,29.0,H,184.38818349985277,216.7
Cesaroni Technology,29.0,I,183.4477899515596,381.7
Cesaroni Technology,38.0,J,176.30186305767018,650.3
Cesaroni Technology,38.0,J,172.90590793330577,970.4
Cesaroni Technology,38.0,G,182.76479853788166,136.8
Cesaroni Technology,38.0,H,179.75879856192964,269.1
Cesaroni Technology,38.0,I,183.21013186765225,411.4
Cesaroni Technology,38.0,I,183.09879853520965,548.2
Cesaroni Technology,38.0,J,182.65791853873665,683.6
Cesaroni Technology,38.0,J,182.2971985416224,818.7
Cesaroni Technology,54.0,I,178.65872602003037,613.6
Cesaroni Technology,54.0,J,181.53744678299452,1211.0
Cesaroni Technology,54.0,K,178.83183259712314,2021.0
Cesaroni Technology,54.0,J,217.96954638124362,821.1
Cesaroni Technology,54.0,J,224.04858987427795,1266.0
Cesaroni Technology,54.0,K,216.7484284743459,1633.0
Cesaroni Technology,75.0,M,197.56847098785875,8429.0
Cesaroni Technology,75.0,L,170.62830136224628,2946.0
Cesaroni Technology,75.0,M,169.44790066535666,6827.0
Cesaroni Technology,75.0,M,172.6073577918402,8187.0
Cesaroni Technology,161.0,O,177.7359575524713,29920.0
Animal Motor Works,54.0,K,181.7697491415529,2245.0
AeroTech,24.0,F,153.5586397971719,47.0
AeroTech,29.0,G,228.77530216979756,157.1
Cesaroni Technology,98.0,M,181.5400644848157,7649.0
Cesaroni Technology,98.0,N,184.57911778301434,10370.0
Cesaroni Technology,98.0,N,182.73275089218694,15230.0
Animal Motor Works,54.0,K,220.16677528784612,1581.0
Animal Motor Works,54.0,K,210.93514199966967,1852.0
AeroTech,38.0,I,185.88819759335422,634.6
Cesaroni Technology,24.0,E,24.308005959382108,24.8
Cesaroni Technology,24.0,G,184.3880490778182,114.5
Cesaroni Technology,24.0,G,198.52372380188118,137.3
Cesaroni Technology,24.0,F,222.62754955429114,73.6
Cesaroni Technology,54.0,K,225.7498956177777,1874.0
Cesaroni Technology,54.0,J,187.24760062021448,867.2
Cesaroni Technology,54.0,K,184.38441083783064,1281.0
Cesaroni Technology,75.0,M,180.43461206558405,7521.0
Cesaroni Technology,75.0,K,174.3141000980245,2406.0
Cesaroni Technology,75.0,L,177.93044142015836,3683.0
Cesaroni Technology,98.0,N,184.7484953325186,19320.0
Cesaroni Technology,54.0,I,226.9101631564701,512.2
Cesaroni Technology,132.0,O,216.9062921140931,30790.0
AeroTech,38.0,H,162.9836958712717,283.0
AeroTech,38.0,I,155.2088552555043,539.0
AeroTech,54.0,K,150.7864200408218,1281.0
AeroTech,75.0,L,159.50304985666168,3868.0
AeroTech,54.0,K,219.71678763985605,1789.0
Gorilla Rocket Motors,98.0,M,153.80368017982696,7532.0
Gorilla Rocket Motors,98.0,M,183.25286849081698,9580.0
AeroTech,98.0,M,172.16825568147746,6891.0
AeroTech,98.0,M,147.6572824380865,5571.0
AeroTech,75.0,L,147.65557114773313,3769.0
Cesaroni Technology,24.0,E,239.68923051491856,26.1
Cesaroni Technology,24.0,E,184.0948164376892,24.2
Cesaroni Technology,24.0,F,191.9756123443213,59.7
Cesaroni Technology,24.0,F,231.67454360114908,75.0
Cesaroni Technology,38.0,J,176.36546127054513,1013.0
Cesaroni Technology,38.0,J,260.231165456192,654.3
Cesaroni Technology,54.0,L,176.08960493274657,2833.0
Cesaroni Technology,54.0,K,179.35487927000676,1997.0
Cesaroni Technology,75.0,K,215.52880408339203,2330.0
Cesaroni Technology,75.0,L,216.32889859091222,3300.0
Cesaroni Technology,75.0,L,168.2547554107187,3420.0
Cesaroni Technology,75.0,K,169.8946653075093,1955.0
Cesaroni Technology,75.0,L,229.2374003708252,2856.0
Cesaroni Technology,75.0,L,228.11368762390939,4263.0
Cesaroni Technology,75.0,K,209.56550086154704,2430.0
Cesaroni Technology,75.0,L,214.159216776016,3727.0
Cesaroni Technology,98.0,N,170.6250535882706,17910.0
Cesaroni Technology,75.0,M,224.72613006686444,5604.0
Cesaroni Technology,75.0,M,182.1379296717449,6268.0
Cesaroni Technology,75.0,M,173.5345625955104,5880.0
Estes Industries,24.0,E,77.34703091325717,27.24
Estes Industries,24.0,E,192.19095396809035,33.56
Estes Industries,29.0,F,147.08699631750358,62.19
Estes Industries,29.0,F,206.64391243655845,76.83
Estes Industries,29.0,G,179.71217191983436,97.14
Cesaroni Technology,75.0,M,200.4382036783233,9977.0
Cesaroni Technology,24.0,G,213.50181178523883,139.7
Cesaroni Technology,98.0,N,200.97634207072568,12070.0
Cesaroni Technology,38.0,I,172.41012065056975,566.6
Cesaroni Technology,98.0,M,210.80774231353806,8634.0
Cesaroni Technology,98.0,O,196.4125334698708,21060.0
AeroTech,75.0,M,178.41299505417751,7561.0
AeroTech,29.0,H,280.699137266602,225.8
Estes Industries,29.0,F,84.28474345905538,49.61
AeroTech,29.0,H,209.2806807605371,236.1
Cesaroni Technology,98.0,N,218.35589704303177,13630.0
AeroTech,38.0,I,187.16264768302668,336.0
AeroTech,38.0,I,161.08885730283845,561.0
AeroTech,38.0,J,188.08810978138436,703.0
Estes Industries,29.0,E,85.06625891946993,33.38
AeroTech,29.0,G,218.9246693895422,128.0
AeroTech,29.0,H,155.1604376967696,172.0
AeroTech,38.0,I,202.56671632818419,620.0
AeroTech,75.0,L,184.00978100526314,4780.0
AeroTech,75.0,L,173.82906808305168,4374.0
AeroTech,98.0,N,151.28028390739658,10660.0
AeroTech,24.0,F,214.7399576729433,41.5
AeroTech,29.0,G,214.6379168579603,82.75
Gorilla Rocket Motors,152.0,O,163.7044438388793,24330.0
Southern Cross Rocketry,18.0,B,82.22901800883452,4.84
Southern Cross Rocketry,18.0,C,75.00849473326538,8.83
Southern Cross Rocketry,18.0,A,80.86986068637444,2.38
AeroTech,29.0,H,193.2367149758454,218.0
AeroTech,29.0,I,187.06487084390656,345.0
AeroTech,38.0,H,181.22097632800995,320.0
AeroTech,38.0,J,190.51539693741526,680.3
AeroTech,54.0,I,171.6972612258914,635.0
AeroTech,54.0,K,196.2112349403772,1434.0
AeroTech,54.0,L,197.61176641910586,2714.0
AeroTech,18.0,C,175.64494628714814,8.96
AeroTech,18.0,D,163.95629102479828,17.21
Cesaroni Technology,24.0,F,239.66474119379316,52.9
Cesaroni Technology,24.0,F,231.2111945139468,49.9
Cesaroni Technology,29.0,F,180.00879588434435,52.8
Cesaroni Technology,29.0,F,80.82131935342943,55.5
Cesaroni Technology,29.0,G,184.41410825920042,143.1
Cesaroni Technology,29.0,H,179.71795875182977,186.0
Cesaroni Technology,29.0,H,180.99771318431544,234.2
Cesaroni Technology,38.0,I,179.73306951834635,394.6
Cesaroni Technology,38.0,J,176.04531690753987,644.0
Cesaroni Technology,38.0,J,170.43933377828554,949.2
Cesaroni Technology,54.0,L,168.1988982177276,2645.0
Cesaroni Technology,54.0,K,184.7604485219164,1711.0
Cesaroni Technology,54.0,K,184.00456123982792,2130.0
Cesaroni Technology,54.0,K,173.32172507980675,2377.0
Cesaroni Technology,54.0,J,170.89692160644574,699.1
Cesaroni Technology,75.0,M,177.03557706684268,5198.0
Cesaroni Technology,75.0,L,147.02365690152035,4937.0
Cesaroni Technology,98.0,N,172.18361414635976,16800.0
Gorilla Rocket Motors,75.0,M,185.490419668619,5368.0
Gorilla Rocket Motors,75.0,M,186.16174507238583,6958.0
Gorilla Rocket Motors,75.0,M,211.31150655097775,7898.0
Gorilla Rocket Motors,98.0,N,206.81996981691168,10810.0
Gorilla Rocket Motors,98.0,N,196.69105967308397,14240.0
Gorilla Rocket Motors,152.0,O,163.7044438388793,24330.0
Gorilla Rocket Motors,54.0,J,178.8308571520303,1114.0
AeroTech,75.0,M,196.21886474995168,5178.0
AeroTech,38.0,H,180.7061440088963,312.0
Loki Research,54.0,J,198.61234421755285,1208.0
Loki Research,54.0,K,199.15337219987646,1983.0
Loki Research,76.0,M,206.2405519104471,6535.0
Loki Research,76.0,M,214.53768555968415,9395.0
Gorilla Rocket Motors,75.0,L,210.04643787518404,3709.0
Gorilla Rocket Motors,75.0,M,207.03123659290833,6032.0
Loki Research,38.0,J,209.66546195903993,1267.0
Loki Research,38.0,K,209.91792780783604,1285.0
Loki Research,76.0,L,191.1437859346877,3889.0
Loki Research,76.0,M,174.33916710036402,7296.0
Loki Research,54.0,L,224.39412979629586,3707.0
Loki Research,54.0,L,204.98346301674871,4802.0
AeroTech,54.0,J,197.69561053964722,704.0
AeroTech,38.0,H,191.06831450451133,226.8
AeroTech,54.0,L,194.4808504441532,2671.0
AeroTech,38.0,H,178.3893985728848,210.0
AeroTech,38.0,I,184.61886963416015,326.0
AeroTech,98.0,L,205.72459083150545,4668.0
AeroTech,98.0,M,217.29651703535052,7301.0
Loki Research,38.0,K,225.06104354834886,1519.0
Loki Research,38.0,H,200.5314082318143,240.0
Loki Research,38.0,I,212.8440366972477,522.0
Loki Research,38.0,G,189.71570959338544,134.0
Loki Research,38.0,G,189.5387359836901,119.0
Loki Research,38.0,G,198.941172602019,121.0
Loki Research,54.0,M,210.26425154865518,5363.0
AeroTech,98.0,M,217.34042990553718,8247.0
AeroTech,38.0,H,217.9015982567872,233.0
AeroTech,54.0,J,210.8692610581439,1055.0
AeroTech,54.0,K,269.6259353683475,1304.0
AeroTech,54.0,K,155.6534948332034,1869.0
AeroTech,54.0,K,155.4869314358431,1867.0
AeroTech,54.0,K,209.31829387441505,1384.0
AeroTech,98.0,M,186.11800624148214,7369.0
AeroTech,38.0,H,211.22986222768688,201.0
AeroTech,38.0,H,224.96397061408135,320.0
AeroTech,75.0,L,160.2865446724002,3887.0
AeroTech,38.0,J,215.10981373366693,742.8
AeroTech,38.0,J,179.60675404871026,671.3
AeroTech,29.0,F,207.61128100577642,61.1
Quest Aerospace,18.0,A,121.35333236250665,2.5
Quest Aerospace,18.0,B,137.61467889908258,4.86
AeroTech,24.0,F,211.99007558709826,55.11
Quest Aerospace,18.0,C,96.05583000078413,9.8
Quest Aerospace,18.0,D,101.12130479102956,12.4
AeroTech,24.0,F,150.59420923002895,47.57
AeroTech,24.0,F,182.8214333200372,49.5
AeroTech,29.0,G,158.8942912947929,130.0
AeroTech,29.0,G,172.7953059347107,139.0
AeroTech,29.0,G,179.0109644215708,144.0
Loki Research,38.0,J,207.52633367312265,732.9
Loki Research,38.0,J,200.7871786159248,709.1
AeroTech,29.0,G,171.25382262996942,105.0
AeroTech,29.0,H,211.97393330420851,232.9
AeroTech,54.0,K,162.98686023456665,2328.0
AeroTech,75.0,L,196.45151981331654,3785.0
AeroTech,75.0,M,246.88661283972192,5493.0
AeroTech,98.0,O,222.8662201211504,21380.0
Animal Motor Works,54.0,K,195.03142748174693,1394.0
AeroTech,29.0,G,175.27043680679174,115.2
AeroTech,38.0,I,202.05329838357358,333.0
AeroTech,29.0,F,224.94053686714238,66.2
AeroTech,29.0,H,184.9574913038452,211.2
Raketenmodellbau Klima,18.0,A,72.811999417504,2.5
Raketenmodellbau Klima,18.0,C,88.40536566443848,9.8
Raketenmodellbau Klima,18.0,C,106.18416581719335,10.0
Raketenmodellbau Klima,18.0,D,126.62956420435479,20.0
AeroTech,54.0,K,163.82699868938403,1350.0
Quest Aerospace,18.0,C,178.93548856851606,9.83
Quest Aerospace,18.0,D,162.04436008295548,13.83
AeroTech,24.0,G,186.24354539529753,89.16
Raketenmodellbau Klima,18.0,B,94.38592517083852,5.0
Raketenmodellbau Klima,18.0,D,104.33531210649394,17.4
AeroTech,24.0,D,164.20319401970775,19.33
AeroTech,24.0,E,155.13332553488968,27.85
AeroTech,75.0,L,241.7996732436848,4329.0
Quest Aerospace,18.0,B,177.29721858162225,4.87
AeroTech,38.0,I,193.9903858592444,374.9
AeroTech,54.0,J,205.11169714453152,745.5
AeroTech,98.0,N,184.45832994694928,13890.0
Estes Industries,152.0,L,235.7895247803505,3886.0
AeroTech,75.0,K,222.54773469020637,1299.0
Quest Aerospace,24.0,E,158.04217133408784,39.38
Quest Aerospace,24.0,F,179.2357373115015,47.65
AeroTech,75.0,K,223.83965607091795,2444.0
AeroTech,29.0,E,201.21437752071978,36.32
AeroTech,29.0,F,214.5658821965164,77.46
AeroTech,54.0,K,176.51871724007648,1439.0
AeroTech,54.0,J,215.73606612421008,1073.0
AeroTech,75.0,M,227.61949367453954,5205.0
AeroTech,98.0,N,189.1031642014604,18180.0
AeroTech,29.0,H,182.64944391193876,240.1
AeroTech,29.0,F,139.9932042133877,41.2
AeroTech,152.0,O,183.57890834955055,39620.0
Loki Research,98.0,N,212.48860121884525,19140.0
Loki Research,54.0,J,223.97878021509015,1270.0
Loki Research,38.0,I,219.99181020587744,505.0
AeroTech,75.0,L,226.44634515598918,3150.0
AeroTech,75.0,N,205.61280442144826,10640.0
Quest Aerospace,18.0,B,220.27212693347516,4.97
Piotr Tendera Rocket Motors,24.0,D,137.75243133041297,20.0
Piotr Tendera Rocket Motors,24.0,E,132.96104241457252,36.0
Piotr Tendera Rocket Motors,29.0,F,156.640471560115,65.0
Piotr Tendera Rocket Motors,24.0,E,144.04112928245354,39.0
Piotr Tendera Rocket Motors,24.0,D,130.8648097638923,19.0
AeroTech,29.0,F,209.56617286892518,79.15
AeroTech,29.0,G,211.4366512117326,128.6
AeroTech,54.0,J,201.12597574948276,732.0
AeroTech,75.0,N,231.63377377385453,10330.0
